from	to	kind	flow	reversed	derived	optional	evidence	note
docs/RUN1_VERGLEICH.md	output/abschichtung_widmung_v2/osm_wka_distance_zones_widmung_v2.tif	reads	false	false	false	false	[frag_E] docs/RUN1_VERGLEICH.md:3-4	manueller Vergleich, kein Code
docs/RUN1_VERGLEICH.md	output/abschichtung_widmung_v2/osm_wka_distance_zones_widmung_v2_run1.tif	reads	false	false	false	false	[frag_E] docs/RUN1_VERGLEICH.md:4	
output/kataster/at_dkm_gst_nfl_epsg31287.geoparquet	docs/analysis/streusiedlung_knee.py	reads	true	true	false	true	[frag_E] docs/analysis/streusiedlung_knee.py:70,216	kein output/analysis-Baum vorhanden -> nie so gelaufen
output/noe/pdf_750m_*.geojson	docs/analysis/streusiedlung_knee.py	reads	true	true	false	true	[frag_E] docs/analysis/streusiedlung_knee.py:69,215 (--noe-dir)	kein output/analysis-Baum vorhanden -> nie so gelaufen
docs/analysis/streusiedlung_knee.py	windkraft/calc/hig_source_masks.py	reads	false	false	false	true	[frag_E] docs/analysis/streusiedlung_knee.py:68,215 (--zoning-dir)	kein output/analysis-Baum vorhanden -> nie so gelaufen
make:check-hardlinks	tools/check_hardlink_safety.py	invokes	true	false	false	false	[frag_F] Makefile:36	
make:widmung-v2	make:widmung-v2-hig	depends	false	false	false	false	[frag_F] Makefile:30	
make:widmung-v2	make:widmung-v2-osm	depends	false	false	false	false	[frag_F] Makefile:30	
make:widmung-v2	make:widmung-v2-tif	depends	false	false	false	false	[frag_F] Makefile:30	
make:widmung-v2	make:widmung-v2-validate	depends	false	false	false	false	[frag_F] Makefile:30	
make:widmung-v2	make:widmung-v2-zoning	depends	false	false	false	false	[frag_F] Makefile:30	
make:widmung-v2-hig	scripts/widmung_v2/02_build_hig_sources.py	invokes	true	false	false	false	[frag_F] Makefile:18	--zoning-dir .../zoning_vectors --out-dir output/abschichtung_widmung_v2
make:widmung-v2-osm	scripts/widmung_v2/03_build_osm_layers.py	invokes	true	false	false	false	[frag_F] Makefile:21	--layer-dir .../distance_layers
make:widmung-v2-tif	make:widmung-v2-osm	depends	false	false	false	false	[frag_F] output/abschichtung_widmung_v2/distance_layers	Impliziter Datenfluss ueber gemeinsames --layer-dir; kein Make-Prerequisite, nur Reihenfolge durch widmung-v2 sichergestellt.
make:widmung-v2-tif	scripts/widmung_v2/04_create_distance_zones.py	invokes	true	false	false	false	[frag_F] Makefile:24	--layer-dir .../distance_layers --output .../osm_wka_distance_zones_widmung_v2.tif
make:widmung-v2-validate	make:widmung-v2-tif	depends	false	false	false	false	[frag_F] $(V2_TIF)	Liest die von widmung-v2-tif erzeugte TIF; kein echtes Make-Prerequisite (kein File-Target), nur ueber widmung-v2 sequenziert.
make:widmung-v2-validate	scripts/widmung_v2/05_validate.py	invokes	true	false	false	false	[frag_F] Makefile:27	--tif .../osm_wka_distance_zones_widmung_v2.tif
make:widmung-v2-zoning	scripts/widmung_v2/01_build_official_zoning_layers.py	invokes	true	false	false	false	[frag_F] Makefile:15	uv run python ... --out-dir output/abschichtung_widmung_v2/zoning_vectors
output/noe/alignment_*.json	scripts/noe/extract_noe_vector_layers.py	reads	true	false	false	false	[frag_E] scripts/noe/extract_noe_vector_layers.py:49 (ALIGN_PATH)	nur alignment_mindestabstand.json wird gelesen; die 6 übrigen alignment_*.json haben keinen Leser im Repo
output/noe/pdf_hig_source_geb.geojson	scripts/noe/derive_pdf_hig_sources.py	invokes	false	false	false	true	[frag_A] hig_source_masks.py:92 (Fehlermeldung verweist auf dieses Skript)	Fehlermeldung, kein tatsaechlicher Programmaufruf; dokumentiert die Erzeuger-Abhaengigkeit ausserhalb des Scopes.
config.json	scripts/analysis/build_v2_dashboard_data.py	reads	true	true	false	false	[frag_B] scripts/analysis/build_v2_dashboard_data.py:100,301	--config Default; via windkraft.config.load_config
scripts/analysis/build_v2_dashboard_data.py	output/abschichtung_widmung_v2/dashboard_data.json	writes	true	false	false	false	[frag_B] scripts/analysis/build_v2_dashboard_data.py:102,329-331	--out Default
output/abschichtung_widmung_v2/osm_wka_distance_zones_widmung_v2.tif	scripts/analysis/build_v2_dashboard_data.py	reads	true	true	false	false	[frag_B] scripts/analysis/build_v2_dashboard_data.py:101,304; [frag_E] scripts/analysis/build_v2_dashboard_data.py:101	--tif Default; erzeugt außerhalb dieses Inventars von scripts/widmung_v2/04_create_distance_zones.py | dashboard_data.json existiert nicht in output/ -> Skript nie erfolgreich gegen dieses TIF gelaufen; EXCLUSION_LAYERS referenziert veraltete Bandnamen (Fund aus vorheriger Session, docs/FOLLOWUPS.md-Kontext)
scripts/analysis/build_v2_dashboard_data.py	windkraft/calc/abschichtung_common.py	imports	false	false	false	false	[frag_B] scripts/analysis/build_v2_dashboard_data.py:44	importiert admin_boundaries
scripts/analysis/build_v2_dashboard_data.py	windkraft/config.py	imports	false	false	false	false	[frag_B] scripts/analysis/build_v2_dashboard_data.py:45	importiert load_config
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	scripts/noe/align_pdf_shapefile.py	reads	true	true	false	false	[frag_B] scripts/noe/align_pdf_shapefile.py:29,207	VGD fest kodiert
data/nö_zonierung/TeilC_3_2_Karte_Mindestabstandszonen_A0_20240402.pdf	scripts/noe/align_pdf_shapefile.py	reads	true	true	false	false	[frag_B] scripts/noe/align_pdf_shapefile.py:30,63	PDF_PATH fest kodiert; fitz.open()
scripts/noe/align_pdf_shapefile.py	output/noe/alignment_*.json	writes	true	false	false	false	[frag_E] scripts/noe/align_pdf_shapefile.py:31,174	nur mit --overwrite bei existierender Zieldatei (SystemExit-Schutz Z.54-58)
scripts/noe/align_pdf_shapefile.py	output/noe/alignment_check_pdf_vs_shapefile.png	writes	true	false	false	false	[frag_B] scripts/noe/align_pdf_shapefile.py:252-253	Pfad = --out-Elternverzeichnis / 'alignment_check_pdf_vs_shapefile.png'; landet nur in output/noe/, wenn --out dort liegt
scripts/noe/align_pdf_shapefile.py	output/noe/alignment_mindestabstand.json	writes	true	false	false	false	[frag_B] scripts/noe/align_pdf_shapefile.py:34,173-176	--out Default; bricht ohne --overwrite ab, falls Ziel existiert (Zeilen 54-59)
scripts/noe/align_pdf_shapefile.py	windkraft/noe/pdf_align.py	imports	false	false	false	false	[frag_B] scripts/noe/align_pdf_shapefile.py:22-26	importiert nur die Konstante GPTS_LATLON_MINDESTABSTAND
output/noe/pdf_750m_*.geojson	scripts/noe/derive_pdf_hig_sources.py	reads	true	true	false	false	[frag_E] scripts/noe/derive_pdf_hig_sources.py:25	
scripts/noe/derive_pdf_hig_sources.py	windkraft/noe/pdf_hig_sources.py	imports	false	false	false	false	[frag_B] scripts/noe/derive_pdf_hig_sources.py:20	
scripts/noe/derive_pdf_hig_sources.py	windkraft/noe/pdf_hig_sources.py	invokes	false	false	false	false	[frag_B] scripts/noe/derive_pdf_hig_sources.py:28	derive_layer_files(Path(args.noe_dir)); --noe-dir Default 'output/noe'. Tatsächlicher GeoJSON-I/O passiert in windkraft/noe/pdf_hig_sources.py.
scripts/noe/derive_pdf_hig_sources.py	windkraft/noe/pdf_hig_sources.py	reads	false	false	false	false	[frag_E] scripts/noe/derive_pdf_hig_sources.py:28	eigenständiger Trigger für dieselbe Ableitung, falls pdf_750m_* bereits vorliegt
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	scripts/noe/extract_noe_vector_layers.py	reads	true	true	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:50,273	VGD_PATH fest kodiert
data/nö_zonierung/TeilC_3_2_Karte_Mindestabstandszonen_A0_20240402.pdf	scripts/noe/extract_noe_vector_layers.py	reads	true	true	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:48,263	PDF_PATH fest kodiert
scripts/noe/extract_noe_vector_layers.py	output/noe/abstand_sondergebiet_1200m.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:64,251	
scripts/noe/extract_noe_vector_layers.py	output/noe/abstand_sondergebiet_1200m_wgs84.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:64,252	
output/noe/alignment_mindestabstand.json	scripts/noe/extract_noe_vector_layers.py	reads	true	true	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:49,259	ALIGN_PATH fest kodiert; geschrieben von align_pdf_shapefile.py
scripts/noe/extract_noe_vector_layers.py	output/noe/pdf_750m_*.geojson	writes	true	false	false	false	[frag_E] scripts/noe/extract_noe_vector_layers.py:51,251-252	export_layer(); kein Overwrite-Schutz, jeder Lauf überschreibt
scripts/noe/extract_noe_vector_layers.py	output/noe/pdf_750m_geb.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:66,251	
scripts/noe/extract_noe_vector_layers.py	output/noe/pdf_750m_geb_wgs84.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:66,252	
scripts/noe/extract_noe_vector_layers.py	output/noe/pdf_750m_gruenland_widmung.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:68,251	
scripts/noe/extract_noe_vector_layers.py	output/noe/pdf_750m_gruenland_widmung_wgs84.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:68,252	
scripts/noe/extract_noe_vector_layers.py	output/noe/pdf_750m_gwr.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:67,251	
scripts/noe/extract_noe_vector_layers.py	output/noe/pdf_750m_gwr_wgs84.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:67,252	
scripts/noe/extract_noe_vector_layers.py	output/noe/siedlungsabstand_1200m.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:63,251	
scripts/noe/extract_noe_vector_layers.py	output/noe/siedlungsabstand_1200m_wgs84.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:63,252	
scripts/noe/extract_noe_vector_layers.py	output/noe/wohnbauland.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:62,251	LAYERS['wohnbauland']
scripts/noe/extract_noe_vector_layers.py	output/noe/wohnbauland_wgs84.geojson	writes	true	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:62,252	
scripts/noe/extract_noe_vector_layers.py	windkraft/noe/pdf_hig_sources.py	imports	false	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:46	
scripts/noe/extract_noe_vector_layers.py	windkraft/noe/pdf_hig_sources.py	invokes	false	false	false	false	[frag_B] scripts/noe/extract_noe_vector_layers.py:286	derive_layer_files(OUT_DIR) direkt am Ende von main() aufgerufen — erzeugt im selben Lauf auch pdf_hig_source_*.geojson
scripts/noe/extract_noe_vector_layers.py	windkraft/noe/pdf_hig_sources.py	reads	false	false	false	false	[frag_E] scripts/noe/extract_noe_vector_layers.py:286	ruft derive_layer_files() im selben Lauf auf
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	reads	true	true	false	true	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:52,1423,707,1210	--boundary-shapefile Default; nur genutzt mit --include-noe-boundary-line (load_noe_boundary_lines, Zeile 1473) oder --boundary-diagnostics (Zeile 1866)
data/kataster/BEV_DKM_DXF_Symbole_V2.6.csv	scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:51,94-99	SYMBOL_CSV fest kodiert; load_symbol_categories()
data/kataster/KAT_DKM_Niederoesterreich_DXF_20230401.zip	scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:50,1477-1478	ZIP_PATH fest kodiert (kein CLI-Flag); Members *.dxf dynamisch gescannt
output/kataster/at_dkm_gst_nfl_epsg31287.geoparquet	scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	reads	true	true	false	true	[frag_E] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:53 (OUT_DIR Geschwisterpfad, Skript liest DKM-Kataster-Quellen)	Diagnose-Skript, output/kataster/diagnostics/ existiert nicht -> nie mit den relevanten Flags gelaufen
scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	output/kataster/diagnostics/noe_dkm_benutzungsarten_flaechen_{suffix}.png	writes	true	false	false	true	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:1467,1881-1900	übersprungen mit --diagnostics-only
scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	output/kataster/diagnostics/noe_dkm_benutzungsarten_flaechen_{suffix}_diagnostics.png	writes	true	false	false	true	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:1468,1844-1861	nur mit --diagnostics/--diagnostics-only
scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	output/kataster/diagnostics/noe_dkm_benutzungsarten_flaechen_{suffix}_noe_boundary_residuals.png	writes	true	false	false	true	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:1263,1278	nur mit --boundary-diagnostics
scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	output/kataster/diagnostics/noe_dkm_benutzungsarten_flaechen_{suffix}_noe_boundary_stats.csv	writes	true	false	false	true	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:1384-1389	nur mit --boundary-diagnostics
scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	output/kataster/diagnostics/noe_dkm_benutzungsarten_flaechen_{suffix}_noe_boundary_white_components.csv	writes	true	false	false	true	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:1351-1367	nur mit --boundary-diagnostics
scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	output/kataster/diagnostics/noe_dkm_benutzungsarten_flaechen_{suffix}_raw.png	writes	true	false	false	true	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:1466,1840-1841	übersprungen mit --diagnostics-only
scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	output/kataster/diagnostics/noe_dkm_benutzungsarten_flaechen_{suffix}_stats.csv	writes	true	false	false	false	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:1469,1903-1926	immer geschrieben
output/kataster/diagnostics/noe_dkm_bounds_GG_KG_NG_epsg31287.csv	scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	reads	true	true	false	true	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:510-513,1488,1491-1492	Bounds-Cache-Hit; übersprungen mit --no-bounds-cache oder --refresh-bounds-cache
scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	output/kataster/diagnostics/noe_dkm_bounds_GG_KG_NG_epsg31287.csv	writes	true	false	false	true	[frag_B] scripts/preprocessing/create_noe_dkm_polygon_fill_map.py:1534-1536	übersprungen mit --no-bounds-cache
data/kataster	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:894,499,506	--data-dir Default; nur die 8 in DEFAULT_SHP_ARCHIVES fest benannten Dateien werden geöffnet, kein Verzeichnis-Scan.
data/kataster/BEV_DKM_DXF_Symbole_V2.6.csv	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:68,163-167	--symbol-csv Default; NsLookup.__init__ liest die Datei
data/kataster/KAT_DKM_Burgenland_SHP_20210401.zip	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:105,513	ArchiveSpec Burgenland; innere Mitglieder dynamisch gescannt (Zeilen 517-535)
data/kataster/KAT_DKM_Kaernten_SHP_20221001.zip	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:109,513	ArchiveSpec Kärnten
data/kataster/KAT_DKM_Niederoesterreich_DXF_20230401.zip	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	true	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:69,625-626	--noe-dxf-zip Default; übersprungen mit --skip-noe-dxf. Innere *.dxf-Namen dynamisch gescannt.
data/kataster/KAT_DKM_Oberoesterreich_SHP_20221001.zip	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:108,513	ArchiveSpec Oberösterreich
data/kataster/KAT_DKM_Salzburg_SHP_20221001.zip	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:110,513	ArchiveSpec Salzburg
data/kataster/KAT_DKM_Steiermark_SHP_20221001.zip	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:111,513	ArchiveSpec Steiermark
data/kataster/KAT_DKM_Tirol_SHP_20221001.zip	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:106,513	ArchiveSpec Tirol
data/kataster/KAT_DKM_Vorarlberg_SHP_20221001.zip	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:107,513	ArchiveSpec Vorarlberg
data/kataster/KAT_DKM_Wien_SHP_20221001.zip	scripts/preprocessing/export_at_dkm_geoparquet.py	reads	true	true	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:112,513	ArchiveSpec Wien
scripts/preprocessing/export_at_dkm_geoparquet.py	output/kataster/at_dkm_gst_nfl_epsg31287.geoparquet	writes	true	false	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:65,262; [frag_E] scripts/preprocessing/export_at_dkm_geoparquet.py:65,262,895,920-942	--output Default; GeoParquetBatchWriter; bricht ohne --overwrite ab, falls Ziel existiert (Zeilen 923-925) | Overwrite-Schutz via SystemExit Z.923-925; aktueller Dateiinhalt laut MIGRATION_MAP.tsv:71 migriert, nicht aus diesem Lauf
scripts/preprocessing/export_at_dkm_geoparquet.py	output/kataster/at_dkm_gst_nfl_epsg31287_overview.md	writes	true	false	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:67,825-826	--overview-md Default
scripts/preprocessing/export_at_dkm_geoparquet.py	output/kataster/at_dkm_gst_nfl_epsg31287_summary.csv	writes	true	false	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:66,795-796	--summary-csv Default
scripts/preprocessing/export_at_dkm_geoparquet.py	scripts/preprocessing/create_noe_dkm_polygon_fill_map.py	imports	false	false	false	false	[frag_B] scripts/preprocessing/export_at_dkm_geoparquet.py:41-51	sys.path-Hack (ROOT, SCRIPT_DIR) + 'from create_noe_dkm_polygon_fill_map import (...)'
output/abschichtung/osm_wka_distance_zones.tif	scripts/webmap/build_layer_viewer.py	reads	true	true	false	false	[frag_B] scripts/webmap/build_layer_viewer.py:55,279,91	--input Default; Erzeuger-Skript nicht Teil dieses Inventars
output/abschichtung/simplified_150w.tif	scripts/webmap/build_layer_viewer.py	reads	true	true	false	true	[frag_B] scripts/webmap/build_layer_viewer.py:56,280,298	--simplified-input Default; nur genutzt, wenn vorhanden (Path.exists()) und --no-simplified nicht gesetzt
scripts/webmap/build_layer_viewer.py	output/abschichtung/viewer/index.html	writes	true	false	false	false	[frag_B] scripts/webmap/build_layer_viewer.py:262,327	write_html()
scripts/webmap/build_layer_viewer.py	output/abschichtung/viewer/layers/{band}_{name}.png	writes	true	false	false	false	[frag_B] scripts/webmap/build_layer_viewer.py:122-123,289-294	ein PNG je Band der Hauptgruppe
scripts/webmap/build_layer_viewer.py	output/abschichtung/viewer/manifest.json	writes	true	false	false	false	[frag_B] scripts/webmap/build_layer_viewer.py:326	--output Default output/abschichtung/viewer
scripts/webmap/build_layer_viewer.py	output/abschichtung/viewer/simplified_layers/{band}_{name}.png	writes	true	false	false	true	[frag_B] scripts/webmap/build_layer_viewer.py:122-123,297-306	nur wenn simplified_150w.tif existiert und --no-simplified fehlt
output/abschichtung_widmung_v2/osm_wka_distance_zones_widmung_v2.tif	scripts/webmap/build_layer_viewer.py	reads	true	true	false	true	[frag_E] scripts/webmap/build_layer_viewer.py:55	NUR bei explizitem --input; Default zeigt auf output/abschichtung/osm_wka_distance_zones.tif (v1-Pfad, existiert nicht); nicht im Makefile verdrahtet
scripts/webmap/build_layer_viewer.py	windkraft/viz/band_metadata.py	imports	false	false	false	false	[frag_B] scripts/webmap/build_layer_viewer.py:34-50	Farb-/Kategorie-Konstanten
data/flächenwidmungen/Flaewi.shp.zip	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:420	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
data/flächenwidmungen/WIDMUNGSFLAECHEN.zip	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:408	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
data/new_widmungs_data/kaernten/flawi_ktn_gpkg.zip	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:377-396,410	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
data/new_widmungs_data/niederoesterreich/RRU_WI_HUELLE.gpkg	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:412	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
data/new_widmungs_data/oberoesterreich/FLWI_WIDMUNGEN_F.zip	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:414	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
data/new_widmungs_data/salzburg/Flaechenwidmung_Shapefile.zip	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:416	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
data/new_widmungs_data/steiermark/Bauland.zip	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:418	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
data/new_widmungs_data/tirol/FLW_Flaechenwidmung_*.gpkg	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:399-403,422	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
data/new_widmungs_data/vorarlberg/fwp_flaeche.gpkg	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:424	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
data/new_widmungs_data/wien/genflwidmung_wien.geojson	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_A] 01_build_official_zoning_layers.py:90 (read_dataset) -> widmung_sources.py:426	Indirekt ueber windkraft/calc/widmung_sources.py:_read_raw(), pro Dataset genau einmal gelesen (functools.lru_cache).
output/abschichtung_widmung_v2/zoning_vectors/_cache	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	true	[frag_A] widmung_sources.py:388-389 (_ensure_ktn_gpkg Cache-Hit-Pfad)	
scripts/widmung_v2/01_build_official_zoning_layers.py	output/abschichtung_widmung_v2/zoning_vectors/_cache	writes	true	false	false	true	[frag_A] widmung_sources.py:387-396	Kaernten-GPKG-Extrakt-Cache, kein Pipeline-Checkpoint.
output/abschichtung_widmung_v2/zoning_vectors/_cache/flawi_ktn_gpkg.gpkg	scripts/widmung_v2/01_build_official_zoning_layers.py	reads	true	true	false	false	[frag_E] scripts/widmung_v2/01_build_official_zoning_layers.py:122,131 (--cache-dir Default)	liest den selbst erzeugten Cache im selben Lauf zurück
scripts/widmung_v2/01_build_official_zoning_layers.py	output/abschichtung_widmung_v2/zoning_vectors/haeuser_im_gruenen_combined.gpkg	writes	true	false	false	false	[frag_A] 01_build_official_zoning_layers.py:112-116,136; [frag_E] scripts/widmung_v2/01_build_official_zoning_layers.py:112-116,136	write_bucket(): NICHT dissolved, mit bundesland/source_layer/category-Provenienz.
