paket	band_nr	band_name	pixel_abs	anteil_prozent	groesste_flaeche_ha	schwerpunkt_bundesland	ampel	ursache
W5.P2	7	haeuser_im_gruenen	808	0.0012	47.9375	Steiermark	rot	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34).
W5.P2	8	nonresidential_hulls_source	5624	1.0275	5.9375	Niederösterreich	rot	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34).
W5.P2	9	nonresidential_hulls_buffer	10596	1.0857	8.2500	Niederösterreich	rot	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34).
W5.P2	10	cableway_buildings_source	2	0.0066	0.1250	Niederösterreich	gruen	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34).
W5.P2	11	cableway_buildings_buffer	18	0.0115	1.1250	Niederösterreich	gelb	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34).
W5.P2	12	general_buildings_source	942	0.0511	8.4375	Niederösterreich	gelb	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34).
W5.P2	13	general_buildings_buffer	1189	0.0283	11.0625	Niederösterreich	gelb	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34).
W5.P2	26	geography_water_bodies	543106	27.5774	33943.4375	Vorarlberg	akzeptiert	Bodensee-Relation; alte Kette klippt per osmium extract --bbox vor dem Tag-Filter. Korrektur der neuen Kette, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W5.P2	27	exclusion_human	3332	0.0037	3.5000	Niederösterreich	gelb	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34).
W5.P2	29	exclusion_geography	35487	0.0480	1496.2500	Vorarlberg	akzeptiert	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33).
W5.P2	30	all_exclusions	16428	0.0129	529.7500	Vorarlberg	rot	Zwei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33) und Wegfall adressloser DKM-Grossflaechen (Punkt 34), beide vom Nutzer am 08.09.2026 entschieden.
W5.P2	31	available_after_all_exclusions_raw	16428	0.2397	529.7500	Vorarlberg	rot	Zwei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33) und Wegfall adressloser DKM-Grossflaechen (Punkt 34), beide vom Nutzer am 08.09.2026 entschieden.
W5.P2	32	available_cleaned_min_10ha	16746	0.2861	529.7500	Vorarlberg	rot	Zwei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33) und Wegfall adressloser DKM-Grossflaechen (Punkt 34), beide vom Nutzer am 08.09.2026 entschieden.
W5.P2	33	available_blur_sigma_100m	57879	0.2648	831.5625	Niederösterreich	rot	Zwei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33) und Wegfall adressloser DKM-Grossflaechen (Punkt 34), beide vom Nutzer am 08.09.2026 entschieden.
W5.P2	34	available_blur_sigma_200m	108694	0.3351	2258.7500	Niederösterreich	rot	Zwei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33) und Wegfall adressloser DKM-Grossflaechen (Punkt 34), beide vom Nutzer am 08.09.2026 entschieden.
W5.P2	35	available_blur_sigma_250m	131124	0.3561	2595.1875	Niederösterreich	rot	Zwei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33) und Wegfall adressloser DKM-Grossflaechen (Punkt 34), beide vom Nutzer am 08.09.2026 entschieden.
W5.P2	36	available_blur_sigma_300m	149791	0.3668	2933.8750	Niederösterreich	rot	Zwei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33) und Wegfall adressloser DKM-Grossflaechen (Punkt 34), beide vom Nutzer am 08.09.2026 entschieden.
W7.5	5	haeuser_im_gruenen_streusiedlung	386	0.0392	8.2500	Wien	gelb	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34) - dieselbe, bereits unter W5.P2 registrierte Ursache; W7.5 traegt hier nichts bei.
W7.5	7	haeuser_im_gruenen	808	0.0012	47.9375	Steiermark	rot	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34) - dieselbe, bereits unter W5.P2 registrierte Ursache; W7.5 traegt hier nichts bei.
W7.5	8	nonresidential_hulls_source	5624	1.0275	5.9375	Niederösterreich	rot	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34) - dieselbe, bereits unter W5.P2 registrierte Ursache; W7.5 traegt hier nichts bei.
W7.5	9	nonresidential_hulls_buffer	10596	1.0857	8.2500	Niederösterreich	rot	Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat. Fachliche Aenderung, vom Nutzer am 08.09.2026 entschieden (Punkt 34) - dieselbe, bereits unter W5.P2 registrierte Ursache; W7.5 traegt hier nichts bei.
W7.5	10	cableway_buildings_source	12039	39.6855	3.6875	Tirol	rot	Zwei Ursachen ueberlagert: (1) Adresslose DKM-Grossflaechen ueber 10000 m2 entfallen als Kandidat, vom Nutzer am 08.09.2026 entschieden (Punkt 34, siehe W5.P2); (2) Personenseilbahnen auf gondola/cable_car/chair_lift/mixed_lift eingeengt (PEOPLE_CARRYING_AERIALWAY_TYPES), Nutzerentscheidung 09.09.2026 (W7.5) - Gebaeude neben ausgeschlossenen Seilbahntypen wandern nach general_buildings_source (Band 12), siehe cableway_typ_wirkungspfad im Manifest. Gebaeudezahl Band 10 + Band 12 bleibt vor und nach der Umverteilung exakt gleich (1.276.042; Invariante geprueft).
W7.5	11	cableway_buildings_buffer	67433	42.9040	10.4375	Tirol	rot	Zwei Ursachen ueberlagert, abgeleitet von Band 10 (cableway_buildings_source) ueber den Wirkungspfad im Manifest: DKM-Grossflaechen (Punkt 34, W5.P2) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5).
W7.5	12	general_buildings_source	12272	0.6654	8.4375	Tirol	rot	Zwei Ursachen ueberlagert: DKM-Grossflaechen (Punkt 34, W5.P2) sowie die komplementaere Restmenge (is_general in build_osm_building_sources()) aus der Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5) - Gebaeude, die wegen des engeren Typfilters nicht mehr als Seilbahn-Gebaeude zaehlen, fallen hierher, siehe cableway_typ_wirkungspfad im Manifest. Gebaeudezahl Band 10 + Band 12 bleibt vor und nach der Umverteilung exakt gleich (1.276.042; Invariante geprueft).
W7.5	13	general_buildings_buffer	33601	0.8008	11.0625	Tirol	rot	Zwei Ursachen ueberlagert, abgeleitet von Band 12 (general_buildings_source) ueber den Wirkungspfad im Manifest: DKM-Grossflaechen (Punkt 34, W5.P2) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5).
W7.5	17	cableway_people_150m	308031	27.0626	124.8750	Tirol	akzeptiert	Personenseilbahnen auf gondola/cable_car/chair_lift/mixed_lift eingeengt (PEOPLE_CARRYING_AERIALWAY_TYPES, calc/abschichtung_common.py) - Schlepplifte, magic_carpet und Warenseilbahnen zaehlen seit Nutzerentscheidung 09.09.2026 (W7.5) nicht mehr als Personenseilbahn. Direkter Filter in build_infrastructure_masks() (pipeline/layers/osm.py), keine Ueberlagerung mit einer aelteren Ursache. Wirkung gemessen (-308.031 Zellen, -192,5194 km2, Tirol), deckt sich mit der Erwartung, kein unerklaerter Rest - vom Nutzer/Koordinator am 09.09.2026 angenommen.
W7.5	26	geography_water_bodies	543106	27.5774	33943.4375	Vorarlberg	akzeptiert	Bodensee-Relation; alte Kette klippt per osmium extract --bbox vor dem Tag-Filter. Korrektur der neuen Kette, vom Nutzer am 08.09.2026 angenommen (Punkt 33) - dieselbe, bereits unter W3.1 angenommene Ursache; W7.5 traegt hier nichts bei.
W7.5	27	exclusion_human	65126	0.0717	101.0625	Tirol	rot	Zwei Ursachen ueberlagert: Adresslose DKM-Grossflaechen (Punkt 34, W5.P2, kleiner Anteil ueber die Gebaeudebaender) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5, ueber Band 17 UND die Baender 10/12) - beide ueber den Wirkungspfad im Manifest, keine automatische Annahme.
W7.5	29	exclusion_geography	35487	0.0480	1496.2500	Vorarlberg	akzeptiert	Folge aus Band 26 ueber den Wirkungspfad im Manifest. Korrektur, vom Nutzer am 08.09.2026 angenommen (Punkt 33) - dieselbe, bereits unter W3.1/W5.P2 angenommene Ursache; W7.5 traegt hier nichts bei.
W7.5	30	all_exclusions	33179	0.0260	529.7500	Vorarlberg	rot	Drei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33, W3.1), Wegfall adressloser DKM-Grossflaechen (Punkt 34, W5.P2) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5) - alle drei vom Nutzer entschieden, keine automatische Annahme der kombinierten Groessenordnung.
W7.5	31	available_after_all_exclusions_raw	33179	0.4841	529.7500	Vorarlberg	rot	Drei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33, W3.1), Wegfall adressloser DKM-Grossflaechen (Punkt 34, W5.P2) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5) - alle drei vom Nutzer entschieden, keine automatische Annahme der kombinierten Groessenordnung.
W7.5	32	available_cleaned_min_10ha	32548	0.5560	529.7500	Vorarlberg	rot	Drei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33, W3.1), Wegfall adressloser DKM-Grossflaechen (Punkt 34, W5.P2) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5) - alle drei vom Nutzer entschieden, keine automatische Annahme der kombinierten Groessenordnung.
W7.5	33	available_blur_sigma_100m	208088	0.9521	831.5625	Tirol	rot	Drei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33, W3.1), Wegfall adressloser DKM-Grossflaechen (Punkt 34, W5.P2) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5) - alle drei vom Nutzer entschieden, keine automatische Annahme der kombinierten Groessenordnung.
W7.5	34	available_blur_sigma_200m	413573	1.2751	2258.7500	Tirol	rot	Drei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33, W3.1), Wegfall adressloser DKM-Grossflaechen (Punkt 34, W5.P2) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5) - alle drei vom Nutzer entschieden, keine automatische Annahme der kombinierten Groessenordnung.
W7.5	35	available_blur_sigma_250m	515970	1.4012	2595.1875	Tirol	rot	Drei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33, W3.1), Wegfall adressloser DKM-Grossflaechen (Punkt 34, W5.P2) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5) - alle drei vom Nutzer entschieden, keine automatische Annahme der kombinierten Groessenordnung.
W7.5	36	available_blur_sigma_300m	613590	1.5026	2933.8750	Tirol	rot	Drei Ursachen ueberlagert: Bodensee-Korrektur (Punkt 33, W3.1), Wegfall adressloser DKM-Grossflaechen (Punkt 34, W5.P2) und Personenseilbahn-Typeneingrenzung (Nutzerentscheidung 09.09.2026, W7.5) - alle drei vom Nutzer entschieden, keine automatische Annahme der kombinierten Groessenordnung.
W7.5	38	wka_bestand_ausserhalb_zonen	9390	3.3995	139.2500	Burgenland	rot	FEHLER: in keinem *_wirkungspfad des Manifests - verstoesst gegen PLAN.md Paragraph 13.9, vor Fortsetzung klaeren
W7.5	39	haeuser_im_gruenen_source	1407651	0.4189	219.2500		ohne_gegenstueck	kein Gegenstueck in run1 (neues Band seit Schema 2.2.0/W7.1)
W7.5	40	general_buildings_roh_osm	1535729	0.4570	152.3750		ohne_gegenstueck	kein Gegenstueck in run1 (neues Band seit Schema 2.2.0/W7.1)
W7.5	41	general_buildings_roh_dkm	321551	0.0957	177.2500		ohne_gegenstueck	kein Gegenstueck in run1 (neues Band seit Schema 2.2.0/W7.1)
W7.5	42	sources_human	43030002	12.8051	2679750.4375		ohne_gegenstueck	kein Gegenstueck in run1 (neues Band seit Schema 2.2.0/W7.1)
W7.5	43	sources_nature	30068371	8.9479	206091.5625		ohne_gegenstueck	kein Gegenstueck in run1 (neues Band seit Schema 2.2.0/W7.1)
W7.5	44	sources_geography	272148598	80.9874	16784545.5000		ohne_gegenstueck	kein Gegenstueck in run1 (neues Band seit Schema 2.2.0/W7.1)
